mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,183,0,(3;5;2),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,98,0,(3;5;3),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,224,0,(3;5;4),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,target,0,0,(3;5;5),WS 2 (Port 1),160,285,285.0,30.0 + 55.0 + 30.0 + 10.0
5,0,return,0,0,WS 2 (Port 1),(1;0;1),289,369,369.0,30.0 + 20.0 + 30.0
6,1,target,23,23,(4;5;0),WS 2 (Port 2),195,325,325.0,30.0 + 60.0 + 30.0 + 10.0
7,1,return,23,23,WS 2 (Port 2),(1;0;0),329,409,409.0,30.0 + 20.0 + 30.0
8,2,reshuffle,150,24,(1;4;0),(0;2;1),205,280,280.0,30.0 + 15.0 + 30.0
9,2,reshuffle,35,24,(1;4;1),(0;2;0),295,370,370.0,30.0 + 15.0 + 30.0
10,2,target,24,24,(1;4;2),WS 2 (Port 1),385,495,495.0,30.0 + 40.0 + 30.0 + 10.0
11,0,return,24,24,WS 2 (Port 1),(1;1;2),499,584,584.0,30.0 + 25.0 + 30.0
12,1,target,36,36,(1;9;0),WS 2 (Port 1),454,589,589.0,30.0 + 65.0 + 30.0 + 10.0
13,1,return,36,36,WS 2 (Port 1),(1;1;1),593,678,678.0,30.0 + 25.0 + 30.0
14,2,target,51,51,(5;0;2),WS 2 (Port 1),525,635,635.0,30.0 + 40.0 + 30.0 + 10.0
15,0,return,51,51,WS 2 (Port 1),(1;1;0),639,724,724.0,30.0 + 25.0 + 30.0
16,2,target,59,59,(4;0;6),WS 2 (Port 1),660,765,765.0,30.0 + 35.0 + 30.0 + 10.0
17,0,return,59,59,WS 2 (Port 1),(0;3;2),769,859,859.0,30.0 + 30.0 + 30.0
18,1,reshuffle,198,68,(5;4;5),(0;3;1),713,889,889.0,30.0 + 116.0 + 30.0
