mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,274,97,(3;8;1),(0;2;4),55,160,160.0,30.0 + 45.0 + 30.0
2,1,reshuffle,384,97,(3;8;2),(0;2;3),85,190,190.0,30.0 + 45.0 + 30.0
3,2,reshuffle,265,97,(3;8;3),(0;2;2),115,220,220.0,30.0 + 45.0 + 30.0
4,0,reshuffle,141,97,(3;8;4),(0;2;1),205,310,310.0,30.0 + 45.0 + 30.0
5,1,reshuffle,18,97,(3;8;5),(0;2;0),235,340,340.0,30.0 + 45.0 + 30.0
6,2,reshuffle,237,97,(3;8;6),(0;3;2),265,365,365.0,30.0 + 40.0 + 30.0
7,0,target,97,97,(3;8;7),WS 1 (Port 1),355,490,490.0,30.0 + 65.0 + 30.0 + 10.0
8,0,return,97,97,WS 1 (Port 1),(1;0;1),496,571,571.0,30.0 + 15.0 + 30.0
9,1,reshuffle,377,117,(2;4;3),(0;3;1),360,435,435.0,30.0 + 15.0 + 30.0
10,2,reshuffle,119,117,(2;4;4),(0;3;0),390,465,465.0,30.0 + 15.0 + 30.0
11,1,reshuffle,185,117,(2;4;5),(0;6;6),450,530,530.0,30.0 + 20.0 + 30.0
12,2,target,117,117,(2;4;6),WS 1 (Port 1),480,590,590.0,30.0 + 40.0 + 30.0 + 10.0
13,0,return,117,117,WS 1 (Port 1),(1;0;0),674,749,749.0,30.0 + 15.0 + 30.0
14,1,target,27,27,(5;3;0),WS 1 (Port 2),570,690,690.0,30.0 + 50.0 + 30.0 + 10.0
15,1,return,27,27,WS 1 (Port 2),(1;1;2),712,792,792.0,30.0 + 20.0 + 30.0
