mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,31,119,(2;1;1),(0;0;7),15,90,90.0,30.0 + 15.0 + 30.0
2,1,reshuffle,53,119,(2;1;2),(0;0;6),45,120,120.0,30.0 + 15.0 + 30.0
3,2,reshuffle,75,119,(2;1;3),(0;0;5),75,150,150.0,30.0 + 15.0 + 30.0
4,0,reshuffle,97,119,(2;1;4),(0;0;4),105,180,180.0,30.0 + 15.0 + 30.0
5,1,target,119,119,(2;1;5),WS 2 (Port 1),135,235,235.0,30.0 + 30.0 + 30.0 + 10.0
6,0,return,119,119,WS 2 (Port 1),(0;0;3),251,326,326.0,30.0 + 15.0 + 30.0
7,2,reshuffle,15,103,(1;6;1),(0;0;2),185,356,356.0,30.0 + 111.0 + 30.0
8,1,reshuffle,37,103,(1;6;2),(0;0;1),275,386,386.0,30.0 + 51.0 + 30.0
9,0,reshuffle,59,103,(1;6;3),(0;0;0),361,456,456.0,30.0 + 35.0 + 30.0
10,2,reshuffle,81,103,(1;6;4),(0;1;7),391,481,481.0,30.0 + 30.0 + 30.0
11,1,target,103,103,(1;6;5),WS 2 (Port 1),421,541,541.0,30.0 + 50.0 + 30.0 + 10.0
12,0,return,103,103,WS 2 (Port 1),(0;1;6),549,629,629.0,30.0 + 20.0 + 30.0
