mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,378,119,(5;6;0),(0;0;5),55,170,170.0,30.0 + 55.0 + 30.0
2,1,reshuffle,221,119,(5;6;1),(0;0;4),85,200,200.0,30.0 + 55.0 + 30.0
3,2,reshuffle,166,119,(5;6;2),(0;0;3),115,230,230.0,30.0 + 55.0 + 30.0
4,0,reshuffle,152,119,(5;6;3),(0;0;2),225,340,340.0,30.0 + 55.0 + 30.0
5,1,target,119,119,(5;6;4),WS 1 (Port 1),255,390,390.0,30.0 + 65.0 + 30.0 + 10.0
6,0,return,119,119,WS 1 (Port 1),(0;0;1),414,484,484.0,30.0 + 10.0 + 30.0
7,1,reshuffle,77,24,(1;5;2),(0;0;0),420,514,514.0,30.0 + 34.0 + 30.0
8,2,reshuffle,55,24,(1;5;3),(0;1;5),450,535,535.0,30.0 + 25.0 + 30.0
9,0,target,24,24,(1;5;4),WS 2 (Port 1),514,629,629.0,30.0 + 45.0 + 30.0 + 10.0
10,0,return,24,24,WS 2 (Port 1),(0;1;4),657,737,737.0,30.0 + 20.0 + 30.0
