mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,316,180,(1;7;0),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,5,180,(1;7;1),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,187,180,(1;7;2),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,reshuffle,105,180,(1;7;3),(0;2;1),160,250,250.0,30.0 + 30.0 + 30.0
5,1,target,180,180,(1;7;4),WS 1 (Port 1),190,310,310.0,30.0 + 50.0 + 30.0 + 10.0
6,0,return,180,180,WS 1 (Port 1),(1;0;1),402,477,477.0,30.0 + 15.0 + 30.0
7,2,target,134,134,(1;3;5),WS 2 (Port 1),200,305,305.0,30.0 + 35.0 + 30.0 + 10.0
8,1,return,134,134,WS 2 (Port 1),(1;0;0),337,507,507.0,30.0 + 110.0 + 30.0
9,2,reshuffle,52,103,(0;3;3),(0;2;0),325,390,390.0,30.0 + 5.0 + 30.0
10,2,reshuffle,371,103,(0;3;4),(0;6;6),395,470,470.0,30.0 + 15.0 + 30.0
11,2,reshuffle,146,103,(0;3;5),(0;6;5),485,560,560.0,30.0 + 15.0 + 30.0
12,0,target,103,103,(0;3;6),WS 2 (Port 1),515,615,615.0,30.0 + 30.0 + 30.0 + 10.0
13,0,return,103,103,WS 2 (Port 1),(1;1;2),623,708,708.0,30.0 + 25.0 + 30.0
