mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,183,0,(3;5;2),(0;2;4),40,130,130.0,30.0 + 30.0 + 30.0
2,1,reshuffle,98,0,(3;5;3),(0;2;3),70,160,160.0,30.0 + 30.0 + 30.0
3,2,reshuffle,224,0,(3;5;4),(0;2;2),100,190,190.0,30.0 + 30.0 + 30.0
4,0,target,0,0,(3;5;5),WS 2 (Port 1),160,285,285.0,30.0 + 55.0 + 30.0 + 10.0
5,0,return,0,0,WS 2 (Port 1),(1;0;1),287,367,367.0,30.0 + 20.0 + 30.0
6,1,reshuffle,274,141,(3;8;1),(0;2;1),205,310,310.0,30.0 + 45.0 + 30.0
7,2,reshuffle,384,141,(3;8;2),(0;2;0),235,340,340.0,30.0 + 45.0 + 30.0
8,1,reshuffle,265,141,(3;8;3),(0;3;2),355,455,455.0,30.0 + 40.0 + 30.0
9,2,target,141,141,(3;8;4),WS 2 (Port 1),385,525,525.0,30.0 + 70.0 + 30.0 + 10.0
10,0,return,141,141,WS 2 (Port 1),(1;0;0),535,615,615.0,30.0 + 20.0 + 30.0
11,1,target,198,198,(5;4;5),WS 2 (Port 1),485,615,615.0,30.0 + 60.0 + 30.0 + 10.0
12,1,return,198,198,WS 2 (Port 1),(1;1;2),623,708,708.0,30.0 + 25.0 + 30.0
