mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,79,79,(2;0;1),WS 1 (Port 1),10,100,100.0,30.0 + 20.0 + 30.0 + 10.0
2,0,return,79,79,WS 1 (Port 1),(1;0;1),102,177,177.0,30.0 + 15.0 + 30.0
3,1,reshuffle,275,151,(0;4;0),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
4,2,reshuffle,184,151,(0;4;1),(0;2;3),50,120,120.0,30.0 + 10.0 + 30.0
5,1,reshuffle,92,151,(0;4;2),(0;2;2),100,170,170.0,30.0 + 10.0 + 30.0
6,2,reshuffle,20,151,(0;4;3),(0;2;1),130,200,200.0,30.0 + 10.0 + 30.0
7,1,reshuffle,354,151,(0;4;4),(0;2;0),180,250,250.0,30.0 + 10.0 + 30.0
8,0,reshuffle,339,151,(0;4;5),(0;3;2),210,275,275.0,30.0 + 5.0 + 30.0
9,2,target,151,151,(0;4;6),WS 1 (Port 1),240,340,340.0,30.0 + 30.0 + 30.0 + 10.0
10,0,return,151,151,WS 1 (Port 1),(1;0;0),358,433,433.0,30.0 + 15.0 + 30.0
