mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,174,118,(2;3;2),(0;2;4),25,100,100.0,30.0 + 15.0 + 30.0
2,1,reshuffle,349,118,(2;3;3),(0;2;3),55,130,130.0,30.0 + 15.0 + 30.0
3,2,reshuffle,33,118,(2;3;4),(0;2;2),85,160,160.0,30.0 + 15.0 + 30.0
4,0,reshuffle,263,118,(2;3;5),(0;2;1),115,190,190.0,30.0 + 15.0 + 30.0
5,1,target,118,118,(2;3;6),WS 1 (Port 1),145,250,250.0,30.0 + 35.0 + 30.0 + 10.0
6,0,return,118,118,WS 1 (Port 1),(1;0;1),254,329,329.0,30.0 + 15.0 + 30.0
7,2,reshuffle,57,181,(4;7;1),(0;2;0),205,310,310.0,30.0 + 45.0 + 30.0
8,1,reshuffle,359,181,(4;7;2),(0;3;2),305,405,405.0,30.0 + 40.0 + 30.0
9,2,reshuffle,355,181,(4;7;3),(0;3;1),355,455,455.0,30.0 + 40.0 + 30.0
10,0,target,181,181,(4;7;4),WS 1 (Port 1),385,520,520.0,30.0 + 65.0 + 30.0 + 10.0
11,0,return,181,181,WS 1 (Port 1),(1;0;0),522,597,597.0,30.0 + 15.0 + 30.0
